2020, 108.7
2019, 107.8
2018, 105.9
2017, 103.4
2016, 100.7
2015, 100
2014, 100
2013, 98.5
2012, 96.1
2011, 93.4
2010, 89.4
2009, 86.6
2008, 84.7
2007, 81.8
2006, 79.9
2005, 78.1
2004, 76.5
